currentJobs,name,fips,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
2034.7,Alabama,1,2941,6347,9657,12543,14636,16729,18480,19738,18439,16633
329.4,Alaska,2,476,1028,1563,2031,2369,2708,2992,3195,2985,2693
2835.1,Arizona,4,4098,8844,13456,17478,20394,23310,25749,27503,25692,23176
1245.2,Arkansas,5,1800,3884,5910,7676,8957,10238,11309,12080,11284,10179
17089.5,California,6,24701,53308,81111,105352,122930,140508,155213,165783,154869,139704
2723.4,Colorado,8,3936,8495,12926,16789,19590,22391,24735,26419,24680,22263
1690.7,Connecticut,9,2444,5274,8024,10423,12162,13901,15356,16401,15321,13821
460.6,Delaware,10,666,1437,2186,2839,3313,3787,4183,4468,4174,3765
798.4,District of Columbia,11,1154,2490,3789,4922,5743,6564,7251,7745,7235,6527
8746.8,Florida,12,12642,27284,41514,53922,62918,71915,79442,84852,79265,71504
4515,Georgia,13,6526,14084,21429,27834,32478,37122,41007,43799,40916,36909
663.4,Hawaii,15,959,2069,3149,4090,4772,5454,6025,6436,6012,5423
735.1,Idaho,16,1063,2293,3489,4532,5288,6044,6676,7131,6662,6009
6108.9,Illinois,17,8830,19056,28994,37660,43943,50227,55483,59262,55360,49939
3133.3,Indiana,18,4529,9774,14871,19316,22539,25762,28458,30396,28395,25614
1586.4,Iowa,19,2293,4949,7529,9780,11411,13043,14408,15389,14376,12969
1419.7,Kansas,20,2052,4429,6738,8752,10212,11673,12894,13772,12866,11606
1932.6,Kentucky,21,2793,6028,9173,11914,13902,15890,17553,18748,17514,15799
1992,Louisiana,22,2879,6214,9455,12280,14329,16378,18092,19324,18052,16284
630.1,Maine,23,911,1965,2991,3884,4533,5181,5723,6113,5710,5151
2734,Maryland,24,3952,8528,12976,16854,19666,22479,24831,26522,24776,22350
3652.1,Massachusetts,25,5279,11392,17334,22514,26271,30027,33170,35429,33096,29855
4425.4,Michigan,26,6396,13804,21004,27281,31833,36385,40193,42930,40104,36177
2955.2,Minnesota,27,4271,9218,14026,18218,21258,24297,26840,28668,26781,24158
1164.7,Mississippi,28,1683,3633,5528,7180,8378,9576,10578,11299,10555,9521
2894.9,Missouri,29,4184,9030,13740,17846,20824,23802,26293,28083,26234,23665
475.2,Montana,30,687,1482,2255,2929,3418,3907,4316,4610,4306,3885
1030.4,Nebraska,31,1489,3214,4891,6352,7412,8472,9358,9996,9338,8423
1374.2,Nevada,32,1986,4287,6522,8472,9885,11299,12481,13331,12453,11234
685.9,New Hampshire,33,991,2140,3255,4228,4934,5639,6230,6654,6216,5607
4179.2,New Jersey,34,6041,13036,19835,25764,30062,34361,37957,40542,37873,34164
841.7,New Mexico,35,1217,2626,3995,5189,6055,6920,7645,8165,7628,6881
9614.8,New York,36,13897,29992,45634,59273,69162,79052,87325,93272,87131,78599
4502.1,North Carolina,37,6507,14044,21368,27754,32385,37016,40890,43674,40799,36804
430.3,North Dakota,38,622,1342,2042,2653,3095,3538,3908,4174,3899,3518
5598.6,Ohio,39,8092,17464,26572,34514,40272,46031,50849,54311,50736,45768
1683,Oklahoma,40,2433,5250,7988,10375,12106,13837,15286,16327,15252,13758
1911.5,Oregon,41,2763,5963,9072,11784,13750,15716,17361,18543,17322,15626
6014.4,Pennsylvania,42,8693,18761,28546,37077,43263,49450,54625,58345,54504,49167
500.3,Rhode Island,44,723,1561,2375,3084,3599,4113,4544,4853,4534,4090
2122.3,South Carolina,45,3068,6620,10073,13083,15266,17449,19276,20588,19233,17349
440.4,South Dakota,46,637,1374,2090,2715,3168,3621,4000,4272,3991,3600
3057.1,Tennessee,47,4419,9536,14510,18846,21991,25135,27766,29657,27704,24991
12542.3,Texas,48,18128,39124,59529,77320,90221,103121,113914,121671,113661,102531
1512.9,Utah,49,2187,4719,7181,9327,10883,12439,13741,14676,13710,12368
314.6,Vermont,50,455,981,1493,1939,2263,2587,2857,3052,2851,2572
4000.5,Virginia,51,5782,12479,18987,24662,28777,32892,36334,38808,36253,32703
3411.5,Washington,53,4931,10642,16192,21031,24540,28049,30985,33095,30916,27888
760.3,West Virginia,54,1099,2372,3609,4687,5469,6251,6905,7376,6890,6215
2963.9,Wisconsin,55,4284,9245,14067,18272,21320,24369,26919,28752,26860,24229
285.4,Wyoming,56,413,890,1355,1759,2053,2347,2592,2769,2586,2333
